1263 non ci sono archi  con nodi esistenti in G 
7147 non ci sono archi  con nodi esistenti in G 
92 non ci sono archi  con nodi esistenti in G 
1109 non ci sono archi  con nodi esistenti in G 
458 non ci sono archi  con nodi esistenti in G 
7160 non ci sono archi  con nodi esistenti in G 
482 non ci sono archi  con nodi esistenti in G 
7595 non ci sono archi  con nodi esistenti in G 
1227 non ci sono archi  con nodi esistenti in G 
11984 non ci sono archi  con nodi esistenti in G 
5951 non ci sono archi  con nodi esistenti in G 
1521 non ci sono archi  con nodi esistenti in G 
11958 non ci sono archi  con nodi esistenti in G 
6276 non ci sono archi  con nodi esistenti in G 
2183 non ci sono archi  con nodi esistenti in G 
1117 non ci sono archi  con nodi esistenti in G 
3324 non ci sono archi  con nodi esistenti in G 
6709 non ci sono archi  con nodi esistenti in G 
1991 non ci sono archi  con nodi esistenti in G 
2461 non ci sono archi  con nodi esistenti in G 
12141 non ci sono archi  con nodi esistenti in G 
4182 non ci sono archi  con nodi esistenti in G 
3103 non ci sono archi  con nodi esistenti in G 
939 non ci sono archi  con nodi esistenti in G 
2892 non ci sono archi  con nodi esistenti in G 
2072 non ci sono archi  con nodi esistenti in G 
7231 non ci sono archi  con nodi esistenti in G 
10342 non ci sono archi  con nodi esistenti in G 
8925 non ci sono archi  con nodi esistenti in G 
2305 non ci sono archi  con nodi esistenti in G 
5342 non ci sono archi  con nodi esistenti in G 
3580 non ci sono archi  con nodi esistenti in G 
7585 non ci sono archi  con nodi esistenti in G 
5756 non ci sono archi  con nodi esistenti in G 
5335 non ci sono archi  con nodi esistenti in G 
7892 non ci sono archi  con nodi esistenti in G 
11139 non ci sono archi  con nodi esistenti in G 
5936 non ci sono archi  con nodi esistenti in G 
2820 non ci sono archi  con nodi esistenti in G 
9519 non ci sono archi  con nodi esistenti in G 
11098 non ci sono archi  con nodi esistenti in G 
10252 non ci sono archi  con nodi esistenti in G 
10309 non ci sono archi  con nodi esistenti in G 
10972 non ci sono archi  con nodi esistenti in G 
11387 non ci sono archi  con nodi esistenti in G 
11512 non ci sono archi  con nodi esistenti in G 
7744 non ci sono archi  con nodi esistenti in G 
9648 non ci sono archi  con nodi esistenti in G 
12027 non ci sono archi  con nodi esistenti in G 
9149 non ci sono archi  con nodi esistenti in G 
3296 non ci sono archi  con nodi esistenti in G 
7256 non ci sono archi  con nodi esistenti in G 
